Centro Poblado,Cobertura,Aerodromo,D_Aerodromo,Regional,D_Regional,Nacional,D_Nacional,Internacional,D_Internacional,C_Aerodromo,C_Regional,C_Nacional,C_Internacional
MONGUA,True,PAIPA JUAN JOSE RONDON,34.0506968930595,ALBERTO LLERAS CAMARGO,20.8725630265504,EL ALCARAVAN,66.6296646636705,PALONEGRO,158.484739525014,True,True,False,False
MONGUÍ,True,SHANGRI-LA,33.8936669703584,PUERTO BOLIVAR,143.183571726357,ALFONSO LOPEZ PUMAREJO,99.83460392509821,ALMIRANTE PADILLA,35.0134594268999,True,False,False,True
MONIQUIRÁ,False,GUSTAVO ROJAS PINILLA,44.96635951985971,ALBERTO LLERAS CAMARGO,70.3733449334853,YARIGUIES,130.238336006649,EL DORADO,145.2316595671,False,False,False,False
LOS CAYENOS,False,GUSTAVO ROJAS PINILLA,42.8534189847819,ALBERTO LLERAS CAMARGO,68.365865560076,YARIGUIES,131.98286314230302,EL DORADO,144.669537121689,False,False,False,False
MOTAVITA,True,GUSTAVO ROJAS PINILLA,4.72036599733936,ALBERTO LLERAS CAMARGO,45.3962544123714,EL ALCARAVAN,112.61464974373399,EL DORADO,130.123018840354,True,False,False,False
MUZO,True,MUZO,1.9804835995648602,JOSE CELESTINO,93.4861420628701,VANGUARDIA,161.027249820208,EL DORADO,92.5059294907074,True,False,False,False
NOBSA,True,PAIPA JUAN JOSE RONDON,18.362827749028302,ALBERTO LLERAS CAMARGO,11.022440704662301,EL ALCARAVAN,79.4182539941829,PALONEGRO,153.178639872036,True,True,False,False
CHAMEZA MAYOR,True,PAIPA JUAN JOSE RONDON,21.787440841342697,ALBERTO LLERAS CAMARGO,11.8597783401078,EL ALCARAVAN,76.2878484452834,PALONEGRO,154.566473195121,True,True,False,False
DICHO,True,PAIPA JUAN JOSE RONDON,15.062237840920698,ALBERTO LLERAS CAMARGO,12.031315175392,EL ALCARAVAN,83.0610185814954,PALONEGRO,151.111627308703,True,True,False,False
PUNTA LARGA,True,PAIPA JUAN JOSE RONDON,13.878684390255302,ALBERTO LLERAS CAMARGO,11.8551527129127,EL ALCARAVAN,83.81944921569891,PALONEGRO,151.180924466003,True,True,False,False
UCUENGA,True,PAIPA JUAN JOSE RONDON,14.640498808270099,ALBERTO LLERAS CAMARGO,10.8249455267941,EL ALCARAVAN,82.53859491296309,PALONEGRO,152.267158630427,True,True,False,False
CALERAS,True,PAIPA JUAN JOSE RONDON,17.951914159463,ALBERTO LLERAS CAMARGO,8.76020637099328,EL ALCARAVAN,78.38869714468821,PALONEGRO,155.296854877245,True,True,False,False
CHÁMEZA MENOR,True,PAIPA JUAN JOSE RONDON,21.0809171484211,ALBERTO LLERAS CAMARGO,11.5581656347213,EL ALCARAVAN,76.89232385339109,PALONEGRO,154.330457586339,True,True,False,False
