,Cod_fecha,Anio,Semestre,Cuatrimestre,Trimestre,Mes,Mes_numerico
137,2015_06,2015,1,2,2,Junio,06
138,2015_07,2015,2,2,3,Julio,07
139,2015_08,2015,2,2,3,Agosto,08
140,2015_09,2015,2,3,3,Septiembre,09
141,2015_10,2015,2,3,4,Octubre,10
142,2015_11,2015,2,3,4,Noviembre,11
143,2015_12,2015,2,3,4,Diciembre,12
144,2016_01,2016,1,1,1,Enero,01
145,2016_02,2016,1,1,1,Febreo,02
146,2016_03,2016,1,1,1,Marzo,03
147,2016_04,2016,1,1,2,Abril,04
148,2016_05,2016,1,2,2,Mayo,05
149,2016_06,2016,1,2,2,Junio,06
150,2016_07,2016,2,2,3,Julio,07
151,2016_08,2016,2,2,3,Agosto,08
152,2016_09,2016,2,3,3,Septiembre,09
153,2016_10,2016,2,3,4,Octubre,10
154,2016_11,2016,2,3,4,Noviembre,11
155,2016_12,2016,2,3,4,Diciembre,12
156,2017_01,2017,1,1,1,Enero,01
157,2017_02,2017,1,1,1,Febreo,02
158,2017_03,2017,1,1,1,Marzo,03
159,2017_04,2017,1,1,2,Abril,04
160,2017_05,2017,1,2,2,Mayo,05
161,2017_06,2017,1,2,2,Junio,06
162,2017_07,2017,2,2,3,Julio,07
163,2017_08,2017,2,2,3,Agosto,08
164,2017_09,2017,2,3,3,Septiembre,09
165,2017_10,2017,2,3,4,Octubre,10
166,2017_11,2017,2,3,4,Noviembre,11
167,2017_12,2017,2,3,4,Diciembre,12
168,2018_01,2018,1,1,1,Enero,01
169,2018_02,2018,1,1,1,Febreo,02
170,2018_03,2018,1,1,1,Marzo,03
171,2018_04,2018,1,1,2,Abril,04
172,2018_05,2018,1,2,2,Mayo,05
173,2018_06,2018,1,2,2,Junio,06
174,2018_07,2018,2,2,3,Julio,07
175,2018_08,2018,2,2,3,Agosto,08
176,2018_09,2018,2,3,3,Septiembre,09
177,2018_10,2018,2,3,4,Octubre,10
178,2018_11,2018,2,3,4,Noviembre,11
179,2018_12,2018,2,3,4,Diciembre,12
