,NombreEstacionPeaje,Recaudo,Trafico,Cod_fecha,Flag
93,AGUAS NEGRAS,2741272300.0,142278.0,2016_10,1
94,AGUAS NEGRAS,2622276500.0,135228.0,2016_11,1
95,AGUAS NEGRAS,3065557200.0,178389.0,2016_12,0
96,AGUAS NEGRAS,3295425100.0,197845.0,2017_01,0
97,AGUAS NEGRAS,2577829600.0,119083.0,2017_02,1
98,AGUAS NEGRAS,2767695600.0,127022.0,2017_03,1
99,AGUAS NEGRAS,2824812100.0,144690.0,2017_04,1
100,AGUAS NEGRAS,2679812400.0,124210.0,2017_05,1
101,AGUAS NEGRAS,2805698300.0,136894.0,2017_06,1
102,AGUAS NEGRAS,2773621500.0,136062.0,2017_07,1
103,AGUAS NEGRAS,2786738900.0,133317.0,2017_08,1
104,AGUAS NEGRAS,2742259100.0,128505.0,2017_09,1
105,AGUAS NEGRAS,1893404600.0,93831.0,2017_10,0
106,AGUAS NEGRAS,0.0,0.0,2017_11,0
107,AGUAS NEGRAS,0.0,0.0,2017_12,0
108,AGUAS NEGRAS,0.0,449606.0,2018_01,0
109,AGUAS NEGRAS,0.0,295750.0,2018_02,0
110,AGUAS NEGRAS,0.0,394704.0,2018_03,0
111,AGUAS NEGRAS,0.0,327786.0,2018_04,0
112,AGUAS NEGRAS,0.0,336838.0,2018_05,0
113,AGUAS NEGRAS,0.0,383911.0,2018_06,0
114,AGUAS NEGRAS,0.0,401444.0,2018_07,0
115,AGUAS NEGRAS,0.0,395070.0,2018_08,0
116,AGUAS NEGRAS,0.0,342492.0,2018_09,0
117,AGUAS NEGRAS,0.0,389079.0,2018_10,0
118,AGUAS NEGRAS,0.0,384287.0,2018_11,0
119,AGUAS NEGRAS,0.0,564309.0,2018_12,0
120,ALBARRACIN,2814532500.0,355251.0,2014_01,1
121,ALBARRACIN,2150715500.0,244244.0,2014_02,1
122,ALBARRACIN,2454205500.0,282834.0,2014_03,1
123,ALBARRACIN,2514977300.0,305408.0,2014_04,1
124,ALBARRACIN,2133125800.0,241843.0,2014_05,1
125,ALBARRACIN,2538499800.0,313235.0,2014_06,1
126,ALBARRACIN,2460351400.0,287770.0,2014_07,1
127,ALBARRACIN,2594860700.0,313329.0,2014_08,1
128,ALBARRACIN,2286220800.0,263142.0,2014_09,1
129,ALBARRACIN,2620097900.0,312162.0,2014_10,1
130,ALBARRACIN,2520503000.0,303257.0,2014_11,1
131,ALBARRACIN,3330089000.0,425273.0,2014_12,0
132,ALBARRACIN,3178927200.0,389380.0,2015_01,0
133,ALBARRACIN,2371863000.0,259217.0,2015_02,1
134,ALBARRACIN,2477350700.0,291487.0,2015_03,1
135,ALBARRACIN,2812975600.0,321502.0,2015_04,1
136,ALBARRACIN,2860793700.0,323571.0,2015_05,1
137,ALBARRACIN,2968398800.0,348277.0,2015_06,1
138,ALBARRACIN,2899597800.0,330575.0,2015_07,1
139,ALBARRACIN,2866244100.0,337213.0,2015_08,1
140,ALBARRACIN,2568048700.0,284793.0,2015_09,1
141,ALBARRACIN,2977725400.0,343016.0,2015_10,1
142,ALBARRACIN,2822675900.0,323331.0,2015_11,1
143,ALBARRACIN,3716218800.0,459351.0,2015_12,0
144,ALBARRACIN,3441440200.0,411188.0,2016_01,0
145,ALBARRACIN,2654732550.0,280997.0,2016_02,1
146,ALBARRACIN,3333470000.0,377069.0,2016_03,0
147,ALBARRACIN,2660926350.0,283988.0,2016_04,1
148,ALBARRACIN,3043249950.0,339126.0,2016_05,0
149,ALBARRACIN,2723498700.0,314921.0,2016_06,1
150,ALBARRACIN,2450402650.0,299591.0,2016_07,1
151,ALBARRACIN,3211851900.0,350355.0,2016_08,0
152,ALBARRACIN,2830068250.0,305016.0,2016_09,1
153,ALBARRACIN,3183902950.0,354488.0,2016_10,0
154,ALBARRACIN,3024431200.0,337603.0,2016_11,0
155,ALBARRACIN,4008517050.0,469466.0,2016_12,0
156,ALBARRACIN,3734202700.0,429518.0,2017_01,0
157,ALBARRACIN,2916730050.0,290764.0,2017_02,1
158,ALBARRACIN,3195804850.0,326996.0,2017_03,0
159,ALBARRACIN,3457976700.0,376121.0,2017_04,0
160,ALBARRACIN,3253392850.0,335898.0,2017_05,0
161,ALBARRACIN,3329043050.0,354376.0,2017_06,0
162,ALBARRACIN,3521676000.0,377207.0,2017_07,0
163,ALBARRACIN,3519567750.0,369778.0,2017_08,0
164,ALBARRACIN,3066443050.0,308679.0,2017_09,0
165,ALBARRACIN,3508570350.0,363751.0,2017_10,0
166,ALBARRACIN,3390989350.0,351327.0,2017_11,0
167,ALBARRACIN,4621163150.0,517453.0,2017_12,0
168,ALBARRACIN,4166305550.0,117298.0,2018_01,0
169,ALBARRACIN,3050097750.0,84119.0,2018_02,0
170,ALBARRACIN,3795024050.0,102185.0,2018_03,0
171,ALBARRACIN,3276038050.0,87193.0,2018_04,0
172,ALBARRACIN,3402289100.0,91424.0,2018_05,0
173,ALBARRACIN,3752587200.0,91598.0,2018_06,0
174,ALBARRACIN,3915513800.0,94288.0,2018_07,0
175,ALBARRACIN,3957627650.0,91648.0,2018_08,0
176,ALBARRACIN,3556600750.0,89153.0,2018_09,0
177,ALBARRACIN,3947597000.0,98941.0,2018_10,0
178,ALBARRACIN,3906217550.0,98799.0,2018_11,0
179,ALBARRACIN,5244128600.0,114978.0,2018_12,0
180,ALTAMIRA,0.0,0.0,2014_01,0
181,ALTAMIRA,0.0,0.0,2014_02,0
182,ALTAMIRA,0.0,0.0,2014_03,0
183,ALTAMIRA,0.0,0.0,2014_04,0
184,ALTAMIRA,0.0,0.0,2014_05,0
185,ALTAMIRA,0.0,0.0,2014_06,0
186,ALTAMIRA,0.0,0.0,2014_07,0
187,ALTAMIRA,0.0,0.0,2014_08,0
188,ALTAMIRA,0.0,0.0,2014_09,0
189,ALTAMIRA,0.0,0.0,2014_10,0
190,ALTAMIRA,0.0,0.0,2014_11,0
191,ALTAMIRA,0.0,0.0,2014_12,0
192,ALTAMIRA,0.0,0.0,2015_01,0
193,ALTAMIRA,0.0,0.0,2015_02,0
194,ALTAMIRA,0.0,0.0,2015_03,0
195,ALTAMIRA,0.0,0.0,2015_04,0
196,ALTAMIRA,0.0,0.0,2015_05,0
197,ALTAMIRA,0.0,0.0,2015_06,0
198,ALTAMIRA,0.0,0.0,2015_07,0
199,ALTAMIRA,0.0,0.0,2015_08,0
200,ALTAMIRA,197648700.0,24493.0,2015_09,0
201,ALTAMIRA,779824200.0,98310.0,2015_10,0
202,ALTAMIRA,781302100.0,97323.0,2015_11,0
203,ALTAMIRA,912382100.0,115648.0,2015_12,0
204,ALTAMIRA,897229200.0,111120.0,2016_01,0
205,ALTAMIRA,727568200.0,84031.0,2016_02,0
206,ALTAMIRA,849542000.0,101005.0,2016_03,0
207,ALTAMIRA,775343900.0,89415.0,2016_04,0
208,ALTAMIRA,836189800.0,96922.0,2016_05,0
209,ALTAMIRA,782643600.0,92988.0,2016_06,0
210,ALTAMIRA,797252500.0,97479.0,2016_07,0
211,ALTAMIRA,899136600.0,104534.0,2016_08,0
212,ALTAMIRA,890835600.0,101744.0,2016_09,0
213,ALTAMIRA,986426700.0,113812.0,2016_10,0
214,ALTAMIRA,976688000.0,111004.0,2016_11,0
215,ALTAMIRA,1083914600.0,125534.0,2016_12,0
216,ALTAMIRA,1026025200.0,117938.0,2017_01,0
217,ALTAMIRA,831348800.0,88895.0,2017_02,0
218,ALTAMIRA,922533400.0,98913.0,2017_03,0
219,ALTAMIRA,945317700.0,105715.0,2017_04,0
220,ALTAMIRA,859769500.0,95013.0,2017_05,0
221,ALTAMIRA,907360800.0,99422.0,2017_06,0
222,ALTAMIRA,937902900.0,102869.0,2017_07,0
223,ALTAMIRA,937030100.0,102568.0,2017_08,0
224,ALTAMIRA,862162100.0,94784.0,2017_09,0
225,ALTAMIRA,913620100.0,101393.0,2017_10,0
226,ALTAMIRA,909386800.0,100920.0,2017_11,0
227,ALTAMIRA,1047607000.0,117914.0,2017_12,0
228,ALTAMIRA,1052404750.0,101016.0,2018_01,0
229,ALTAMIRA,820941300.0,85340.0,2018_02,0
230,ALTAMIRA,964838000.0,98276.0,2018_03,0
231,ALTAMIRA,832832200.0,93962.0,2018_04,0
232,ALTAMIRA,883287900.0,93823.0,2018_05,0
233,ALTAMIRA,842452800.0,91076.0,2018_06,0
234,ALTAMIRA,878718500.0,97179.0,2018_07,0
235,ALTAMIRA,878398600.0,94174.0,2018_08,0
236,ALTAMIRA,851838800.0,88958.0,2018_09,0
237,ALTAMIRA,946871200.0,89538.0,2018_10,0
238,ALTAMIRA,951010200.0,88780.0,2018_11,0
239,ALTAMIRA,1088629800.0,112008.0,2018_12,0
240,ALTO PINO,801339700.0,90028.0,2014_01,0
241,ALTO PINO,630348700.0,68820.0,2014_02,0
242,ALTO PINO,664797400.0,72522.0,2014_03,0
243,ALTO PINO,677427600.0,74268.0,2014_04,0
244,ALTO PINO,673955900.0,75313.0,2014_05,0
245,ALTO PINO,685687500.0,74567.0,2014_06,0
246,ALTO PINO,720575500.0,77920.0,2014_07,0
247,ALTO PINO,690469500.0,74311.0,2014_08,0
248,ALTO PINO,638940100.0,68660.0,2014_09,0
249,ALTO PINO,624087200.0,67749.0,2014_10,0
250,ALTO PINO,632359900.0,68918.0,2014_11,0
251,ALTO PINO,726667100.0,84597.0,2014_12,0
252,ALTO PINO,672715700.0,75842.0,2015_01,0
253,ALTO PINO,552913500.0,60636.0,2015_02,0
254,ALTO PINO,644531100.0,70308.0,2015_03,0
255,ALTO PINO,634068600.0,69301.0,2015_04,0
256,ALTO PINO,684715100.0,73536.0,2015_05,0
257,ALTO PINO,645065300.0,70070.0,2015_06,0
