codigo,nombre,departamento,tipo
BNO_O,BUENOS AIRES,Santander,aero_origen
BOC_O,SAN MARTIN,Cesar,aero_origen
BOG_O,EL DORADO,"Bogotá, D.C.",aero_origen
BQL_O,BARRANQUILLITA,Guaviare,aero_origen
BSA_O,LA ESPERANZA,Santander,aero_origen
BSC_O,JOSE CELESTINO MUTIS,Chocó,aero_origen
BUN_O,BUENAVENTURA-GERARDO TOBAR LOPEZ,Valle del Cauca,aero_origen
BUO_O,BUENOS AIRES,Casanare,aero_origen
BVA_O,BUENAVISTA,La Guajira,aero_origen
CAA_O,CAÑO GANDUL,Casanare,aero_origen
CAC_O,CAMPO CAPOTE,Santander,aero_origen
CAH_O,EL VISO INCORA,Huila,aero_origen
CAL_O,CALIMA,Cesar,aero_origen
CAM_O,CABO MARZO,Chocó,aero_origen
CAN_O,CANARIAS,Casanare,aero_origen
CAO_O,"CENTRO ADMINISTRATIVO ""MARANDUA""",Vichada,aero_origen
CAP_O,CAMPO ALEGRE,Casanare,aero_origen
CAQ_O,JUAN H.WHITE,Antioquia,aero_origen
CAR_O,CARIMAGUA,Meta,aero_origen
CAS_O,CASA COIMA,Antioquia,aero_origen
CAT_O,CALICANTO,Tolima,aero_origen
CAV_O,CUMACHAGUA,Vichada,aero_origen
CBR_O,EL CARMEN DE BOLIVAR,Bolívar,aero_origen
CBY_O,LA ARABIA,Meta,aero_origen
CCH_O,EL PACIFICO,Caquetá,aero_origen
CDA_O,LA ESMERALDA - CA,Valle del Cauca,aero_origen
CDY_O,CIUDAD YARI,Caquetá,aero_origen
CEB_O,EL CEBRUNO,Córdoba,aero_origen
CFB_O,CALIFORNIA,Bolívar,aero_origen
CGA_O,LA CEIBA,Magdalena,aero_origen
CGW_O,SANTA ANA,Valle del Cauca,aero_origen
CHO_O,CHICAMOCHA,Meta,aero_origen
CHP_O,LA CHAPA,Casanare,aero_origen
CIM_O,GUSTAVO ROJAS PINILLA,Santander,aero_origen
CLM_O,CALAMAR GUAVIARE,Guaviare,aero_origen
CLO_O,ALFONSO BONILLA ARAGON,Valle del Cauca,aero_origen
CMA_O,CANAIMA,Meta,aero_origen
CMP_O,CAMPOALEGRE,Huila,aero_origen
CMR_O,LA MARIA,Meta,aero_origen
COA_O,COFA -PALMIRA,Valle del Cauca,aero_origen
COG_O,CONDOTO MANDINGA,Chocó,aero_origen
CPB_O,CAPURGANA,Chocó,aero_origen
CPC_O,CUPICA,Chocó,aero_origen
CPL_O,NAVAS PARDO,Tolima,aero_origen
CRA_O,CINERA,Norte de Santander,aero_origen
CRL_O,SANTA BARBARA,Meta,aero_origen
CRM_O,CURUMANI,Cesar,aero_origen
CRN_O,CORRAL NUEVO,Magdalena,aero_origen
CRR_O,CERRITOS,Tolima,aero_origen
CRU_O,CARURU,Vaupés,aero_origen
CRY_O,EL VERGEL,Meta,aero_origen
CTG_O,RAFAEL NUÑEZ,Bolívar,aero_origen
CUC_O,CAMILO DAZA,Norte de Santander,aero_origen
CUM_O,EL VISO,Huila,aero_origen
CVN_O,COVEÑAS,Sucre,aero_origen
CZI_O,LA DILIA,Cesar,aero_origen
CZU_O,LAS BRUJAS,Sucre,aero_origen
EBG_O,EL TOMIN,Antioquia,aero_origen
ECC_O,EL CARMEN DE CHUCURI,Santander,aero_origen
ECO_O,ECOPETROL,Santander,aero_origen
ECR_O,EL CHORRO,Cesar,aero_origen
EEB_O,EL ESPINO,Boyacá,aero_origen
EJA_O,YARIGUIES,Santander,aero_origen
