NombreEstacionPeaje,Recaudo,Trafico,Cod_fecha
AGUAS NEGRAS,0.0,0.0,2017_11
AGUAS NEGRAS,0.0,0.0,2017_12
AGUAS NEGRAS,0.0,449606.0,2018_01
AGUAS NEGRAS,0.0,295750.0,2018_02
AGUAS NEGRAS,0.0,394704.0,2018_03
AGUAS NEGRAS,0.0,327786.0,2018_04
AGUAS NEGRAS,0.0,336838.0,2018_05
AGUAS NEGRAS,0.0,383911.0,2018_06
AGUAS NEGRAS,0.0,401444.0,2018_07
AGUAS NEGRAS,0.0,395070.0,2018_08
AGUAS NEGRAS,0.0,342492.0,2018_09
AGUAS NEGRAS,0.0,389079.0,2018_10
AGUAS NEGRAS,0.0,384287.0,2018_11
AGUAS NEGRAS,0.0,564309.0,2018_12
ALBARRACIN,2814532500.0,355251.0,2014_01
ALBARRACIN,2150715500.0,244244.0,2014_02
ALBARRACIN,2454205500.0,282834.0,2014_03
ALBARRACIN,2514977300.0,305408.0,2014_04
ALBARRACIN,2133125800.0,241843.0,2014_05
ALBARRACIN,2538499800.0,313235.0,2014_06
ALBARRACIN,2460351400.0,287770.0,2014_07
ALBARRACIN,2594860700.0,313329.0,2014_08
ALBARRACIN,2286220800.0,263142.0,2014_09
ALBARRACIN,2620097900.0,312162.0,2014_10
ALBARRACIN,2520503000.0,303257.0,2014_11
ALBARRACIN,3330089000.0,425273.0,2014_12
ALBARRACIN,3178927200.0,389380.0,2015_01
ALBARRACIN,2371863000.0,259217.0,2015_02
ALBARRACIN,2477350700.0,291487.0,2015_03
ALBARRACIN,2812975600.0,321502.0,2015_04
ALBARRACIN,2860793700.0,323571.0,2015_05
ALBARRACIN,2968398800.0,348277.0,2015_06
ALBARRACIN,2899597800.0,330575.0,2015_07
ALBARRACIN,2866244100.0,337213.0,2015_08
ALBARRACIN,2568048700.0,284793.0,2015_09
ALBARRACIN,2977725400.0,343016.0,2015_10
ALBARRACIN,2822675900.0,323331.0,2015_11
ALBARRACIN,3716218800.0,459351.0,2015_12
