,sigla,iata,nombre,municipio,departamento,categoria,latitud,longitud,propietario,explotador,longitud_pista,ancho_pista,pbmo,orientacion,elevacion,resolucion,fecha_construccion,fecha_vigencia,clase,tipo,numero_vuelos_origen,gcd_departamento,gcd_municipio
150,CIM,CIM,GUSTAVO ROJAS PINILLA,Cimitarra,Santander,Aeródromo,6.3674,-73.9706,AEROCIVIL,AEROCIVIL,1500.0,40.0,12202.0,,735.0,"  644,000",1967-06-05,,3C,Aerocivil,338.0,68,68190
151,CLM,,CALAMAR GUAVIARE,San José del Guaviare,Guaviare,Aeródromo,1.9624,-72.645,MUNICIPIO,MUNICIPIO,1000.0,16.0,2950.0,,540.0,"  538,000",,,2A,Público,1380.0,95,95001
152,CLO,CLO,ALFONSO BONILLA ARAGON,Palmira,Valle del Cauca,Internacional,3.5431,-76.3817,AEROCIVIL,CONCESION AEROCALI S.A.,3000.0,45.0,,,3174.0,"  984,000",1987-02-02,,4E,Aerocivil,207439.0,76,76520
153,CMA,,CANAIMA,Villavicencio,Meta,Aeródromo,,,,,,,,,,,,,,,8.0,50,50001
154,CMP,,CAMPOALEGRE,Campoalegre,Huila,Aeródromo,,,,,,,,,,,,,,,38.0,41,41132
155,CMR,,LA MARIA,Cumaral,Meta,Aeródromo,4.2436,-73.2131,HELICE LTDA.,HELICE LTDA.,660.0,15.0,2000.0,,738.0,"  117,000",,2018-03-09,1A,Fumigación,15.0,50,50226
156,COA,,COFA -PALMIRA,Palmira,Valle del Cauca,Aeródromo,,,,,,,,,,,,,,,1.0,76,76520
157,COG,COG,CONDOTO MANDINGA,Condoto,Chocó,Regional,5.072,-76.6766,AEROCIVIL,AEROCIVIL,1150.0,18.0,,,166.0,"  984,000",1987-02-02,,2C,Aerocivil,5130.0,27,27205
158,CPB,CPB,CAPURGANA,Acandí,Chocó,Regional,8.6305,-77.3502,ACCION COMUNAL,ACCION COMUNAL,950.0,10.0,,,12.0," 1784,000",,,1A,Público,6004.0,27,27006
159,CPC,,CUPICA,Bahía Solano,Chocó,Aeródromo,6.6987,-77.4832,ALCALDIA,ALCALDIA,870.0,15.0,,,16.0," 5732,000",,,1A,Público,341.0,27,27075
160,CPL,CPL,NAVAS PARDO,Chaparral,Tolima,Aeródromo,3.7238,-75.4654,AEROCIVIL,AEROCIVIL,1200.0,15.0,,,2729.0,"  499,000",1968-07-20,,2C,Aerocivil,538.0,73,73168
161,CRA,,CINERA,San José de Cúcuta,Norte de Santander,Aeródromo,8.1708,-72.4746,ASOZULIA,ASOZULIA,900.0,10.0,5000.0,,305.0," 6327,000",,,1A,Fumigación,92.0,54,54001
162,CRL,,SANTA BARBARA,Cumaral,Meta,Aeródromo,4.2329,-73.2523,UNIPALMA S.A.,UNIPALMA S.A.,850.0,18.0,3000.0,,800.0," 7055,000",,,1A,Privado,63.0,50,50226
163,CRM,,CURUMANI,Curumaní,Cesar,Aeródromo,,,,,,,,,,,,,,,46.0,20,20228
164,CRN,,CORRAL NUEVO,Plato,Magdalena,Aeródromo,,,,,,,,,,,,,,,58.0,47,47555
165,CRR,,CERRITOS,Ambalema,Tolima,Aeródromo,4.8422,-74.7758,URUEÑA Y VILLA CIA S. EN C.,SANIDAD VEGETAL CRUZ,640.0,10.0,2000.0,,807.0," 6174,000",,,1A,Fumigación,,73,73030
166,CRU,CUO,CARURU,Carurú,Vaupés,Aeródromo,1.0135,-71.2961,MUNICIPIO,MUNICIPIO,1000.0,20.0,12200.0,,646.0,"   62,000",,,2B,Público,4108.0,97,97161
167,CRY,,EL VERGEL,Cabuyaro,Meta,Aeródromo,4.2065,-73.0026,AVIAL LTDA,AVIAL LTDA.,740.0,15.0,2000.0,,540.0,"  998,000",,,1A,Fumigación,2.0,50,50124
168,CTG,CTG,RAFAEL NUÑEZ,Cartagena de Indias,Bolívar,Internacional,10.442,-75.5123,AEROCIVIL,CONCESION-SACSA,2380.0,45.0,,,7.0," 4501,000",2012-08-16,,4D,Aerocivil,131998.0,13,13001
169,CUC,CUC,CAMILO DAZA,San José de Cúcuta,Norte de Santander,Internacional,7.9274,-72.5116,AEROCIVIL,AEROCIVIL -ORIENTE S.A.S.,1920.0,45.0,,,1027.0,"  984,000",1987-02-02,,4D,Aerocivil,72216.0,54,54001
170,CUM,,EL VISO,Campoalegre,Huila,Aeródromo,2.7313,-75.3219,SANIDAD VEGETAL CRUZ VERDE,SANIDAD VEGETAL CRUZ VERDE,600.0,10.0,2500.0,,1299.0," 2136,000",,,1A,Fumigación,20.0,41,41132
171,CVN,CVE,COVEÑAS,Coveñas,Sucre,Aeródromo,9.401,-75.6913,ARC MINDEFENSA,ARC MINDEFENSA,1220.0,28.0,12202.0,,31.0,"  984,000",,,2C,Militar,875.0,70,70221
172,CZI,,LA DILIA,Agustín Codazzi,Cesar,Aeródromo,,,,,,,,,,,,,,,11.0,20,20013
173,CZU,CZU,LAS BRUJAS,Corozal,Sucre,Regional,9.3325,-75.2853,AEROCIVIL,EN CONCESION-SOACN(Sociedad Operadora de Aeropuertos Centro Norte,1430.0,22.0,,,519.0," 1862,000",1971-07-19,,3C,Aerocivil,14822.0,70,70215
174,EBG,EBG,EL TOMIN,El Bagre,Antioquia,Regional,7.5965,-74.8089,SOCIEDAD MINEROS A/QUIA,EL MUNICIPIO,1300.0,15.0,,,180.0," 2443,000",,,1A,Público,6662.0,5,5250
175,ECC,,EL CARMEN DE CHUCURI,El Carmen de Chucurí,Santander,Aeródromo,6.7406,-73.5544,MUNICIPIO,MUNICIPIO,700.0,12.0,12000.0,,1200.0," 2488,000",,,1A,Público,203.0,68,68235
176,ECO,,ECOPETROL,Barrancabermeja,Santander,Aeródromo,,,,,,,,,,,,,,,5.0,68,68081
177,ECR,,EL CHORRO,Gamarra,Cesar,Aeródromo,,,,,,,,,,,,,,,1.0,20,20295
178,EEB,,EL ESPINO,El Espino,Boyacá,Aeródromo,6.4883,-72.5047,MUNICIPIO,MUNICIPIO,820.0,15.0,5670.0,,7119.0," 4239,000",,,1B,Público,2.0,15,15248
179,EJA,EJA,YARIGUIES,Barrancabermeja,Santander,Nacional,7.0244,-73.8068,AEROCIVIL,AEROCIVIL -ORIENTE S.A.S.,1800.0,45.0,61100.0,,414.0,"  115,000",1965-09-02,,3C,Aerocivil,27366.0,68,68081
180,EJU,,EL JUNCAL,Palermo,Huila,Aeródromo,2.8471,-75.3133,ASOJUNCAL,SANIDAD VEGETAL CRUZ VERDE,620.0,10.0,2000.0,,1509.0," 4949,000",2010-10-01,,1A,Fumigación,2.0,41,41524
