,NombreEstacionPeaje,Recaudo,Tráfico,Cod_fecha
109,SAN BERNARDO,782294900,80790.0,2016Feb
110,SAN BERNARDO,923841000,98452.0,2016Mar
111,SAN BERNARDO,787491600,82138.0,2016Abr
112,SAN BERNARDO,901304700,93916.0,2016May
113,SAN BERNARDO,851650800,90960.0,2016Jun
114,SAN BERNARDO,943822100,102911.0,2016Jul
115,SAN BERNARDO,969326650,98189.0,2016Ago
116,SAN BERNARDO,875512800,89227.0,2016Sep
117,SAN BERNARDO,969258150,99515.0,2016Oct
118,SAN BERNARDO,939378700,95606.0,2016Nov
119,SAN BERNARDO,1174154700,122625.0,2016Dic
120,SAN BERNARDO,1164878250,3754.7741935483873,2017Ene
121,SAN BERNARDO,866150000,2973.5714285714284,2017Feb
122,SAN BERNARDO,935200400,2925.8387096774195,2017Mar
123,SAN BERNARDO,898458900,2908.0333333333333,2017Abr
124,SAN BERNARDO,882353150,2680.7741935483873,2017May
125,SAN BERNARDO,979398100,3168.366666666667,2017Jun
126,SAN BERNARDO,1058363350,3320.0,2017Jul
127,SAN BERNARDO,1014316950,3132.516129032258,2017Ago
128,SAN BERNARDO,909445900,3214.1666666666665,2017Sep
129,SAN BERNARDO,980525050,3056.548387096774,2017Oct
130,SAN BERNARDO,973853500,3497.633333333333,2017Nov
131,SAN BERNARDO,1217305300,3906.2258064516127,2017Dic
132,SAN BERNARDO,1004673650,98673.0,2018Ene
133,SAN BERNARDO,512294600,53077.0,2018Feb
134,SAN BERNARDO,787570000,79091.0,2018Mar
135,SAN BERNARDO,745732650,67491.0,2018Abr
136,SAN BERNARDO,682533450,61570.0,2018May
137,SAN BERNARDO,628437400,58360.0,2018Jun
138,SAN BERNARDO,776425900,71016.0,2018Jul
139,SAN BERNARDO,772941500,69836.0,2018Ago
140,SAN BERNARDO,742532950,66403.0,2018Sept
141,SAN BERNARDO,822623350,73853.0,2018Oct
142,SAN BERNARDO,837985800,76567.0,2018Nov
143,SAN BERNARDO,1058718950,100459.0,2018Dic
144,SANTAGUEDA,1909011050,138482.0,2016Ene
145,SANTAGUEDA,1457632300,89924.0,2016Feb
146,SANTAGUEDA,1749069850,120544.0,2016Mar
147,SANTAGUEDA,1418827800,88754.0,2016Abr
148,SANTAGUEDA,1553020500,101169.0,2016May
149,SANTAGUEDA,1337361550,93851.0,2016Jun
