Centro Poblado,Aeropuerto,Distancia(Km),Cobertura,Aerodromo,D_Aerodromo,Regional,D_Regional,Nacional,D_Nacional,Internacional,D_Internacional,Tipo_Cobertura
CHORRO DE LÁGRIMAS,REMEDIOS OTU,36.3571423181489,True,LOS REMANSOS,36.9400031504266,REMEDIOS OTU,36.3571423181489,YARIGUIES,76.732530757032,JOSE M. CORDOVA,127.330891548304,Regional
ZARAGOZA,BUENAVENTURA-GERARDO TOBAR LOPEZ,15.5848458243455,True,EDGAR CALDAS POTES-CA,41.9729683950865,FARFAN HERIBERTO GIL MAR,74.7411241508577,BUENAVENTURA-GERARDO TOBAR LOPEZ,15.5848458243455,ALFONSO BONILLA ARAGON,63.3285189648368,Nacional
PATO,EL TOMIN,16.8177571476658,True,EL RIO,68.2116038957348,EL TOMIN,16.8177571476658,YARIGUIES,133.856638491455,JOSE M. CORDOVA,158.037517294292,Regional
VEGAS DE SEGOVIA,EL TOMIN,26.8674768265087,True,EL RIO,65.8702292860539,EL TOMIN,26.8674768265087,YARIGUIES,144.040293043069,JOSE M. CORDOVA,153.480436260158,Regional
"BARRANQUILLA, DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO",ERNESTO CORTISSOZ,9.72627419746979,True,URACA - CA.,14.2805199224163,TOLU,184.587545488713,ALFONSO LOPEZ PUMAREJO,179.285703088871,ERNESTO CORTISSOZ,9.72627419746979,Internacional
BARANOA,ERNESTO CORTISSOZ,18.1367051453747,True,URACA - CA.,23.5077258470318,TOLU,160.632479995131,ALFONSO LOPEZ PUMAREJO,186.497880722421,ERNESTO CORTISSOZ,18.1367051453747,Internacional
CAMPECHE,ERNESTO CORTISSOZ,23.3638766704315,True,URACA - CA.,31.2453335399013,TOLU,153.890371199644,ALFONSO LOPEZ PUMAREJO,184.815710072407,ERNESTO CORTISSOZ,23.3638766704315,Internacional
PITAL,BUENAVENTURA-GERARDO TOBAR LOPEZ,38.1456452799499,True,LOPEZ DE MICAI,68.942090779043,FARFAN HERIBERTO GIL MAR,125.675325993588,BUENAVENTURA-GERARDO TOBAR LOPEZ,38.1456452799499,ALFONSO BONILLA ARAGON,94.0777344504006,Nacional
SIBARCO,URACA - CA.,21.9932168959116,True,URACA - CA.,21.9932168959116,TOLU,159.843383875924,ALFONSO LOPEZ PUMAREJO,193.30975641432,ERNESTO CORTISSOZ,22.7853298165305,Internacional
CAMPO DE LA CRUZ,EL ESFUERZO,9.34701981305848,True,EL ESFUERZO,9.34701981305848,TOLU,123.599791082215,ALFONSO LOPEZ PUMAREJO,178.78403598272,ERNESTO CORTISSOZ,57.8391581054225,Aeródromo
BOHÓRQUEZ,EL ESFUERZO,15.0375533052318,True,EL ESFUERZO,15.0375533052318,TOLU,134.108856100956,ALFONSO LOPEZ PUMAREJO,173.296686683528,ERNESTO CORTISSOZ,47.9609911685472,Aeródromo
CANDELARIA,INGENIO MAYAGUEZ,2.89618362362736,True,INGENIO MAYAGUEZ,2.89618362362736,FARFAN HERIBERTO GIL MAR,77.5620952008183,BUENAVENTURA-GERARDO TOBAR LOPEZ,84.830521257702,ALFONSO BONILLA ARAGON,15.5492668837399,Internacional
SAN JOSÉ DEL CARRETAL,EL ESFUERZO,6.16807001895959,True,EL ESFUERZO,6.16807001895959,TOLU,126.977061896549,ALFONSO LOPEZ PUMAREJO,181.913747546886,ERNESTO CORTISSOZ,52.0981323503083,Aeródromo
BUENAVENTURA DE LEÑA,EL ESFUERZO,14.8675608501278,True,EL ESFUERZO,14.8675608501278,TOLU,136.241843398202,ALFONSO LOPEZ PUMAREJO,178.302348339111,ERNESTO CORTISSOZ,42.7574722701906,Aeródromo
GALAPA,ERNESTO CORTISSOZ,9.97047189120697,True,URACA - CA.,11.370862288797,TOLU,175.431640468005,ALFONSO LOPEZ PUMAREJO,184.776726550434,ERNESTO CORTISSOZ,9.97047189120697,Internacional
PALUATO,URACA - CA.,14.593680125836,True,URACA - CA.,14.593680125836,TOLU,167.98033944867,ALFONSO LOPEZ PUMAREJO,190.020204720618,ERNESTO CORTISSOZ,16.3211197494846,Internacional
JUAN DE ACOSTA,URACA - CA.,23.455986636483,True,URACA - CA.,23.455986636483,TOLU,158.508710773353,ALFONSO LOPEZ PUMAREJO,200.642189948508,ERNESTO CORTISSOZ,29.1407620395547,Internacional
BOCATOCINO,EL CAIRANO,13.2599884116523,True,EL CAIRANO,13.2599884116523,TOLU,151.155587928571,ALFONSO LOPEZ PUMAREJO,217.896323975414,ERNESTO CORTISSOZ,47.0409489945029,Aeródromo
CHORRERA,URACA - CA.,25.0184550688036,True,URACA - CA.,25.0184550688036,TOLU,156.553522861607,ALFONSO LOPEZ PUMAREJO,196.811166152548,ERNESTO CORTISSOZ,27.1467322867152,Internacional
SAN JOSÉ DE SACO,EL CAIRANO,22.1003948496205,True,EL CAIRANO,22.1003948496205,TOLU,154.013963217693,ALFONSO LOPEZ PUMAREJO,204.801020779369,ERNESTO CORTISSOZ,34.5845507101579,Internacional
SANTA VERÓNICA,URACA - CA.,21.8311564433423,True,URACA - CA.,21.8311564433423,TOLU,162.458595765698,ALFONSO LOPEZ PUMAREJO,205.846353670158,ERNESTO CORTISSOZ,32.3846911985649,Internacional
URBANIZACIÓN PUNTA CANGREJO,EL CAIRANO,23.8414878159631,True,EL CAIRANO,23.8414878159631,TOLU,159.272391224782,ALFONSO LOPEZ PUMAREJO,208.762433721487,ERNESTO CORTISSOZ,36.0030522163412,Internacional
LURUACO,EL CAIRANO,17.5065417424662,True,EL CAIRANO,17.5065417424662,TOLU,131.773018265111,ALFONSO LOPEZ PUMAREJO,207.858093902667,RAFAEL NUÑEZ,44.6125329718958,Aeródromo
ARROYO DE PIEDRA,EL TAMBO,14.6001751047214,True,EL TAMBO,14.6001751047214,TOLU,123.165382746668,LOS GARZONES,202.756867917179,RAFAEL NUÑEZ,19.8503017745215,Internacional
PALMAR DE CANDELARIA,EL CAIRANO,13.6233726628308,True,EL CAIRANO,13.6233726628308,TOLU,137.046398692668,ALFONSO LOPEZ PUMAREJO,209.327807724141,RAFAEL NUÑEZ,46.7189778141353,Aeródromo
LOS PENDALES,EL CAIRANO,12.3941286839951,True,EL CAIRANO,12.3941286839951,TOLU,130.158537131568,LOS GARZONES,210.823657661891,RAFAEL NUÑEZ,38.9454433474482,Internacional
SAN JUAN DE TOCAGUA,EL CAIRANO,12.0960020690816,True,EL CAIRANO,12.0960020690816,TOLU,132.889452124367,ALFONSO LOPEZ PUMAREJO,212.758234721341,RAFAEL NUÑEZ,41.8915294155162,Aeródromo
SANTA CRUZ,LOPEZ DE MICAI,47.5177083184107,False,LOPEZ DE MICAI,47.5177083184107,JUAN CASIANO,101.341294327312,BUENAVENTURA-GERARDO TOBAR LOPEZ,70.5808915259679,ALFONSO BONILLA ARAGON,115.028572698539,Sin cobertura
LOS LÍMITES,EL CAIRANO,10.2367311520201,True,EL CAIRANO,10.2367311520201,TOLU,130.688749748251,LOS GARZONES,211.338376882022,RAFAEL NUÑEZ,37.7817051324327,Internacional
LA PUNTICA,EL CAIRANO,15.2093125209956,True,EL CAIRANO,15.2093125209956,TOLU,131.488316042552,ALFONSO LOPEZ PUMAREJO,210.407160707703,RAFAEL NUÑEZ,42.6554586325345,Aeródromo
BARRIGÓN,EL CAIRANO,17.5799145996535,True,EL CAIRANO,17.5799145996535,TOLU,126.62227439819,LOS GARZONES,207.2762446853,RAFAEL NUÑEZ,39.054060087046,Internacional
