,sigla,iata,nombre,municipio,departamento,categoria,latitud,longitud,propietario,explotador,longitud_pista,ancho_pista,pbmo,orientacion,elevacion,resolucion,fecha_construccion,fecha_vigencia,clase,tipo,numero_vuelos_origen,gcd_departamento,gcd_municipio
564,MNO,,LA GLORIA,Aguazul,Casanare,Aeródromo,5.0064,-72.3561,CARMEN SEDANO,PERENCO COLOMBIA LIMITED,540.0,18.0,5000.0,,630.0," 6967,000",,,1A,Privado,1540.0,85,85010
565,MOC,,MONTELIBANO,Agustín Codazzi,Cesar,Aeródromo,,,,,,,,,,,,,,,1.0,20,20013
566,MOQ,,MOSQUERA,Mosquera,Nariño,Aeródromo,,,,,,,,,,,,,,,5.0,52,52473
567,MOY,,MONTERREY,Monterrey,Casanare,Aeródromo,,,,,,,,,,,,,,,1.0,85,85162
568,MPI,,PIRACUARA,Mitú,Vaupés,Aeródromo,-0.6703,-69.6514,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,540.0,10.0,12202.0,,640.0," 3423,000",,,1A,Público,863.0,97,97001
569,MPU,,PACU,Mitú,Vaupés,Aeródromo,1.6308,-70.3639,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,540.0,10.0,1650.0,,700.0," 3423,000",,,1A,Público,242.0,97,97001
570,MQU,MQU,JOSE CELESTINO,San Sebastián de Mariquita,Tolima,Regional,5.2126,-74.8837,AEROCIVIL,AEROCIVIL,1790.0,45.0,,,1531.0,"   51,000",1968-01-24,,2A,Aerocivil,1428.0,73,73443
571,MRF,,LAGOS DEL DORADO,Miraflores,Guaviare,Aeródromo,,,,,,,,,,,,,,,3.0,95,95200
572,MRI,,MURINDO,Murindó,Antioquia,Aeródromo,6.9762,-76.8125,ALCALDIA,ALCALDIA,670.0,10.0,3500.0,,23.0,,,2013-12-12,1A,Público,481.0,5,5475
573,MSA,,SAN ANTONIO,Mitú,Vaupés,Aeródromo,0.6797,-70.4375,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,340.0,10.0,1650.0,,610.0," 3423,000",,,1A,Público,331.0,97,97001
574,MSI,,SANTA LUCIA,Mitú,Vaupés,Aeródromo,1.3825,-70.0067,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,415.0,15.0,3000.0,,1020.0," 3423,000",,,1A,Público,186.0,97,97001
575,MSN,,SAN PABLO,Mitú,Vaupés,Aeródromo,,,,,,,,,,,,,,,86.0,97,97001
