,sigla,nombre,municipio,departamento,categoria,latitud,longitud,propietario,explotador,longitud_pista,ancho_pista,pbmo,elevacion,resolucion,clase,tipo,gcd_departamento,gcd_municipio
83,9CY,LA MEJOR,Restrepo,Meta,Aeródromo,4.1538,-73.3205,JOSE A. REINA P.,SADELL S.A.S.,740.0,10.0,2000.0,844.0," 1125,000",1A,Fumigación,50,50606
84,9CZ,GRISMANIA,Aguazul,Casanare,Aeródromo,4.989,-72.5099,LUZ MARINA VARGAS,SFA LTDA.,900.0,10.0,2000.0,669.0," 6670,000",1A,Fumigación,85,85010
85,9DA,BALMORAL,Maní,Casanare,Aeródromo,4.8864,-72.3439,MELIDA OVALLE Y OTROS,AEROTEC LTDA.,840.0,10.0,2000.0,652.0,"  694,000",1A,Fumigación,85,85139
86,9DB,PALMAS DE TUMACO  -CA,San Andrés de Tumaco,Nariño,Aeródromo,1.496,-78.765,PALMAS DE TUMACO S.A.,PALMAS DE TUMACO S.A.,225.0,10.0,500.0,136.0," 1897,000",UL,Privado,52,52835
87,9DE,LUNA PARK,La Primavera,Vichada,Aeródromo,5.127999999999999,-70.4931,DAVID ALFONSO MATTOS L.,DAVID ALFONSO MATTOS,1200.0,15.0,12000.0,410.0," 1056,000",1A,Privado,99,99524
88,9DF,EL PORTAL,San Alberto,Cesar,Aeródromo,,,,,,,,,,,,20,20710
89,9DI,SAN FELIPE,San Felipe,Guainía,Aeródromo,1.915,-67.0776,GOBERNACION,GOBERNACION,1100.0,22.0,25000.0,312.0,"  545,000",1A,Público,94,94883
90,9DN,SAN FRANCISCO,Puerto Gaitán,Meta,Aeródromo,4.26,-71.9146,PROYECTOS LA FAZENDA,AGROPECUARIA ALIAR S.A.,1200.0,18.0,5000.0,712.0," 5521,000",2A,Fumigación,50,50568
91,9LI,SAN SEBASTIAN,Cabuyaro,Meta,Aeródromo,4.3356,-72.7803,NELLY ZARATE,AEROTEC LTDA.,740.0,10.0,2000.0,680.0," 4738,000",1A,Fumigación,50,50124
92,9LM,LA TRINIDAD,Puerto Rico,Meta,Aeródromo,,,,,,,,,,,,50,50590
93,9LQ,LA PONDEROSA,Puerto Gaitán,Meta,Aeródromo,4.6316,-71.2141,MONICA COLOMBIA LTDA.,MONICA COLOMBIA LTDA,1200.0,18.0,3000.0,537.0," 5243,000",2A,Privado,50,50568
94,9LS,SAN LUIS,La Esperanza,Norte de Santander,Aeródromo,7.6382,-73.4381,CRIAGAN S.A.,AEROPENORT LTDA.,770.0,10.0,2000.0,308.0," 7389,000",1A,Fumigación,54,54385
95,9LW,EL PALMAR,Nunchía,Casanare,Aeródromo,5.396,-71.9116,MAURICIO MEDINA NIÑO,FIBA S.A.,700.0,10.0,3000.0,629.0,"  472,000",1A,Fumigación,85,85225
96,9M1,TRES ESQUINAS AB,Solano,Caquetá,Aeródromo,,,,,,,,,,,,18,18756
97,9M2,LARANDIA,Florencia,Caquetá,Aeródromo,,,,,,,,,,,,18,18001
98,9MQ,EL RASTRO,Cumaribo,Vichada,Aeródromo,4.7022,-70.8617,EL RASTRO 1 S.A.S.,EL RASTRO  1 S.A.S,800.0,15.0,2000.0,545.0," 7391,000",1A,Fumigación,99,99773
99,9MS,BETANIA,Trinidad,Casanare,Aeródromo,5.5319,-71.6812,DIOSELINO ACOSTA,SAO E.U.,800.0,10.0,2000.0,2030.0," 1216,000",1A,Fumigación,85,85430
100,9MW,LAS NUBES,Puerto Gaitán,Meta,Aeródromo,4.2563,-71.7977,AGMO NUBES INVER.S.A.S,AGMO NUBES INVERSIONES,1000.0,18.0,4500.0,1030.0," 1942,000",1A,Fumigación,50,50568
101,9NB,LAS PALMAS,La Gloria,Cesar,Aeródromo,8.5803,-73.6619,NAVIAGRI - NAVILOG S.A.,CELTA LTDA.,1000.0,15.0,2500.0,554.0," 5531,000",1A,Fumigación,20,20383
102,9NG,REMOLINOS,Puerto López,Meta,Aeródromo,4.2053,-72.6639,BLANCA E. BULLA PULIDO,ECO LTDA.,840.0,10.0,2000.0,586.0,"  835,000",1A,Fumigación,50,50573
103,A01,CAMPO ALEGRE,Inírida,Guainía,Aeródromo,1.8653,-69.0101,GOBERNACION,GOBERNACION,450.0,15.0,2000.0,577.0," 1333,000",1A,Público,94,94001
104,A02,CAÑO COLORADO,Inírida,Guainía,Aeródromo,2.2774,-68.3599,GOBERNACION,GOBERNACION,1100.0,15.0,12202.0,413.0," 4419,000",1C,Público,94,94001
105,A03,FORTUL,Fortul,Arauca,Aeródromo,6.7817,-71.7791,GOBERNACION,MUNICIPIO,700.0,13.0,4000.0,730.0," 2036,000",1A,Público,81,81300
106,A04,SANTA ROSA DEL SUR,Santa Rosa del Sur,Bolívar,Aeródromo,7.9629,-76.03399999999998,MUNICIPIO,MUNICIPIO,720.0,18.0,5000.0,61.0," 5959,000",1A,Público,13,13688
107,ABT,AGUA BLANCA,Piedras,Tolima,Aeródromo,4.4656,-74.9948,SOCIEDAD CULTIVOS SAN JOSE,CRUZ VERDE,680.0,10.0,2000.0,1994.0," 4508,000",1A,Fumigación,73,73547
108,ACD,ALCIDES FERNANDEZ,Acandí,Chocó,Regional,8.4969,-77.2739,INCORA LTDA,MUNICIPIO,1200.0,16.0,,50.0," 1072,000",3A,Público,27,27006
109,ACI,EL MONASTERIO,Acacías,Meta,Aeródromo,3.9587,-73.4425,EFA LTDA.,EFA LTDA.,680.0,10.0,2000.0,948.0," 2634,000",1A,Fumigación,50,50006
110,ACL,AGUACLARA,Sabanalarga,Casanare,Aeródromo,4.7333,-73.0583,CORREGIMIENTO,CORREGIMIENTO,800.0,25.0,12202.0,1033.0," 3660,000",1C,Público,85,85300
111,ACR,ARARACUARA,Solano,Caquetá,Regional,-0.6008,-72.3981,GOBERNACION,GOBERNACION,1300.0,30.0,27000.0,800.0,"   31,000",3C,Público,18,18756
112,ADN,ANDES,Andes,Antioquia,Aeródromo,,,,,,,,,,,,5,5034
113,ADZ,GUSTAVO ROJAS PINILLA,San Andrés,San Andrés islas,Internacional,12.5837,-81.7113,AEROCIVIL,AEROCIVIL,2380.0,36.0,,18.0,"  352,000",4D,Aerocivil,88,88001
114,AFC,FABAL-COALCESAR,Aguachica,Cesar,Aeródromo,8.2415,-73.6901,COALCESAR,COALCESAR LTDA,650.0,15.0,2000.0,197.0,"  441,000",1A,Fumigación,20,20011
115,AFD,FADELCE,Armenia,Quindío,Aeródromo,,,,,,,,,,,,63,63001
116,AFI,EL RIO,Amalfi,Antioquia,Aeródromo,6.8954,-75.0475,AEROCIVIL,AEROCIVIL,970.0,20.0,3500.0,4831.0,"  551,000",2A,Aerocivil,5,5031
117,AGB,AGUA BLANCA,Espinal,Tolima,Aeródromo,4.1839,-74.8931,FARCA S.A. - COMODATO,SANIDAD VEGETAL CRUZ,750.0,10.0,2000.0,1095.0," 7095,000",1A,Fumigación,73,73268
118,AGC,EL FARO,Aguachica,Cesar,Aeródromo,,,,,,,,,,,,20,20011
119,AGH,HACARITAMA,Aguachica,Cesar,Aeródromo,8.2473,-73.5821,AEROCIVIL,AEROCIVIL,1310.0,25.0,12202.0,700.0," 9248,000",2C,Aerocivil,20,20011
120,AGI,EL PARAISO,Aguachica,Cesar,Aeródromo,8.1258,-73.5806,SOCIEDAD CHARRY NARVAEZ,CELTA LTDA.,600.0,10.0,2500.0,328.0," 1127,000",1A,Fumigación,20,20011
121,AGJ,JAMAICA,Aguazul,Casanare,Aeródromo,5.0905,-72.4462,VICTOR H-TORRES Z.,AVIOCOL LTDA.,750.0,10.0,2000.0,781.0," 1054,000",1A,Fumigación,85,85010
122,AGT,AGUA BLANCA,Piedras,Tolima,Aeródromo,,,,,,,,,,,,73,73547
123,AGU,MARIA ANGELICA,Aguazul,Casanare,Aeródromo,5.0546,-72.4471,GERMAN ERAZO,CELTA LTDA.,800.0,15.0,2000.0,720.0," 4736,000",1A,Fumigación,85,85010
124,AGY,BASE PRINCIPAL CELTA,Aguachica,Cesar,Aeródromo,8.2002,-73.6313,CIA. EN LABORES TEC Y A,CELTA LTDA.,800.0,15.0,2500.0,305.0," 5318,000",1A,Fumigación,20,20011
125,AGZ,AGUAZUL,Aguazul,Casanare,Aeródromo,,,,,,,,,,,,85,85010
126,AIH,LA MANGA,Aipe,Huila,Aeródromo,,,,,,,,,,,,41,41016
127,ALR,ALFEMAR,Juradó,Chocó,Aeródromo,,,,,,,,,,,,27,27372
128,ALT,ALTAMIRA,Orocué,Casanare,Aeródromo,4.7586,-71.6386,PALMAR DE ALTAMIRA S.A.S.,PALMAR DE ALTAMIRA S.A.A,1100.0,15.0,5000.0,492.0," 6124,000",1A,Privado,85,85230
129,ALV,EL DIAMANTE,Alvarado,Tolima,Aeródromo,4.5694,-74.9337,ELIAS ACOSTA Y CIA LTDA,CRUZ VERDE,620.0,10.0,2000.0,1312.0," 4728,000",1A,Fumigación,73,73026
130,AMB,EL SANTUARIO,Ambalema,Tolima,Aeródromo,4.9029,-74.7797,HACIENDA ZAPAYAN S.A.,HACIENDA ZAPAYAN S.A.,750.0,10.0,2800.0,830.0,,1A,Fumigación,73,73030
131,AMN,PORTUGALITO,Armenia,Quindío,Aeródromo,,,,,,,,,,,,63,63001
132,ANN,ANA MARIA,Agustín Codazzi,Cesar,Aeródromo,,,,,,,,,,,,20,20013
133,APO,ANTONIO ROLDAN BETANCOURT,Carepa,Antioquia,Nacional,7.8118,-76.7164,AEROCIVIL,EN CONCESION- SOACN(Sociedad Operadora de Aeropuertos Centro Norte,2180.0,30.0,,46.0," 1590,000",4C,Aerocivil,5,5147
134,APY,APIAY - FAC,Villavicencio,Meta,Aeródromo,4.0761,-73.5627,FAC,F A C,1800.0,40.0,,1200.0,,4D,Militar,50,50001
135,ARA,LA RUBIERA,Arauca,Arauca,Aeródromo,,,,,,,,,,,,81,81001
136,ARC,PERENCO,Yopal,Casanare,Aeródromo,,,,,,,,,,,,85,85001
137,ARE,EL CEDRITO -CA,Armenia,Quindío,Aeródromo,,,,,,,,,,,,63,63001
138,ARG,ARAGUANEY,Yopal,Casanare,Aeródromo,5.4129999999999985,-72.285,SANAR S.A.S,SANAR S.A.S.,850.0,10.0,4000.0,796.0,"  705,000",1A,Fumigación,85,85001
139,ARO,ARBOLETES,Arboletes,Antioquia,Aeródromo,8.8394,-76.43,MUNICIPIO,MUNICIPIO,1100.0,10.0,6000.0,13.0," 4381,000",2B,Público,5,5051
140,ARQ,EL TRONCAL,Arauquita,Arauca,Aeródromo,7.0211,-71.3889,AEROCIVIL,AEROCIVIL,960.0,12.0,12202.0,509.0," 1073,000",2C,Aerocivil,81,81065
141,ASA,ASA-COPEY,El Copey,Cesar,Aeródromo,,,,,,,,,,,,20,20238
142,ATC,ATACO,Ataco,Tolima,Aeródromo,3.5837,-75.3891,MUNICIPIO,MUNICIPIO,800.0,15.0,4000.0,1519.0,"  156,000",2A,Público,73,73067
143,AUC,SANTIAGO PEREZ QUIROZ,Arauca,Arauca,Nacional,7.0689,-70.737,AEROCIVIL,AEROCIVIL,2100.0,30.0,,418.0,"  984,000",4C,Aerocivil,81,81001
144,AUR,EL CORAJE,Ariguaní,Magdalena,Aeródromo,10.0247,-74.067,CAMAGUEY S.A.,CAMAGUEY S.A.,720.0,15.0,4000.0,282.0," 7094,000",1A,Privado,47,47058
145,AXM,EL EDEN,Armenia,Quindío,Internacional,4.452893,-75.767286,,,,,,,,,,63,63001
146,AYC,LA GLORIA,La Gloria,Cesar,Aeródromo,,,,,,,,,,,,20,20383
147,BAA,BANCO CAFETERO,Manizales,Caldas,Aeródromo,,,,,,,,,,,,17,17001
148,BAC,BANCO DE LA REPUBLICA,Medellín,Antioquia,Aeródromo,,,,,,,,,,,,5,5001
149,BAQ,ERNESTO CORTISSOZ,Barranquilla,Atlántico,Internacional,10.8896,-74.7809,AEROCIVIL,GRUPO AEROPORTUARIO DEL CARIBE S.A.S.,3000.0,45.0,,98.0," 1152,000",4E,Aerocivil,8,8001
150,BAR,GUAICARAMO,Barranca de Upía,Meta,Aeródromo,4.4605,-72.9509,GUAICARAMO S.A.,GUAICARAMO S.A.,800.0,18.0,5500.0,649.0," 7236,000",1A,Fumigación,50,50110
151,BAT,BANCO DE OCCIDENTE,Cali,Valle del Cauca,Aeródromo,,,,,,,,,,,,76,76001
152,BBA,PIZARRO,Bajo Baudó,Chocó,Aeródromo,4.9608,-77.3633,MUNICIPIO,MUNICIPIO,1000.0,10.0,,10.0," 6365,000",1A,Público,27,27077
153,BCA,CERREJON CENTRAL,Barrancas,La Guajira,Aeródromo,,,,,,,,,,,,44,44078
154,BCO,JULIA CAROLINA,Bosconia,Cesar,Aeródromo,,,,,,,,,,,,20,20060
155,BCU,OREGANAL,Barrancas,La Guajira,Aeródromo,,,,,,,,,,,,44,44078
156,BEC,BECERRIL,Becerril,Cesar,Aeródromo,9.6628,-73.2744,MUNICIPIO,FUMILLANOS,1300.0,27.0,3500.0,320.0," 2989,000",3B,Fumigación,20,20045
157,BEE,BENEFICENCIA DEL TOLIMA,Ibagué,Tolima,Aeródromo,,,,,,,,,,,,73,73001
158,BER,BECERRIL,Becerril,Cesar,Aeródromo,,,,,,,,,,,,20,20045
159,BGA,PALONEGRO,Bucaramanga,Santander,Internacional,7.127269,-73.18294499999998,,,,,,,,,,68,68001
160,BGN,EL MILAGRO,Bugalagrande,Valle del Cauca,Aeródromo,,,,,,,,,,,,76,76113
161,BIC,BERASTEGUI,Ciénaga de Oro,Córdoba,Aeródromo,8.8845,-75.6835,AEROCIVIL,AEROCIVIL,1530.0,20.0,2000.0,48.0,"  984,000",0B,Aerocivil,23,23189
162,BIZ,BIZERTA,Nunchía,Casanare,Aeródromo,5.4225,-71.9936,CELMIRA BARRAGAN F.,FUMIVILLA LTDA,700.0,10.0,2000.0,639.0,"  151,000",1A,Fumigación,85,85225
163,BJA,BERLIN,Villavieja,Huila,Aeródromo,,,,,,,,,,,,41,41872
164,BJE,LA CASCAJERA,Barrancabermeja,Santander,Aeródromo,,,,,,,,,,,,68,68081
165,BMG,BARRANCO MINAS,Barranco Minas,Guainía,Aeródromo,3.4907,-69.8097,GOBERNACION,DEPARTAMENTO,900.0,15.0,,125.0," 2477,000",1A,Público,94,94343
166,BNA,BUENOS AIRES -FADELCE,Pailitas,Cesar,Aeródromo,,,,,,,,,,,,20,20517
167,BNO,BUENOS AIRES,Puerto Wilches,Santander,Aeródromo,7.4620000000000015,-73.7464,AGRICOLA BUFALERA DE COLOMBIA,EL MISMO,1060.0,18.0,3500.0,229.0," 7239,000",1A,Privado,68,68575
168,BOC,SAN MARTIN,Bosconia,Cesar,Aeródromo,,,,,,,,,,,,20,20060
169,BOG,EL DORADO,"Bogotá, D.C.","Bogotá, D.C.",Internacional,4.7017,-74.1469,AEROCIVIL,EN CONCESION CODAD,3800.0,60.0,,8356.0,"  320,000",4E,Aerocivil,11,11001
170,BQL,BARRANQUILLITA,Miraflores,Guaviare,Aeródromo,1.5467,-72.3258,GOBERNACION,INS POL BARRANQUILLITA,700.0,15.0,5000.0,800.0," 2989,000",1A,Público,95,95200
171,BSA,LA ESPERANZA,Barbosa,Santander,Aeródromo,5.9485,-73.6092,GOBERNACION,MUNICIPIO,1000.0,16.0,,5308.0,"  306,000",2A,Público,68,68077
172,BSC,JOSE CELESTINO MUTIS,Bahía Solano,Chocó,Regional,6.2031,-77.395,MUNICIPIO,MUNICIPIO,1200.0,30.0,,80.0,"  551,000",2C,Público,27,27075
173,BUN,BUENAVENTURA-GERARDO TOBAR LOPEZ,Buenaventura,Valle del Cauca,Nacional,3.8196,-76.9899,AEROCIVIL,AEROCIVIL,1200.0,30.0,,44.0," 1026,000",2C,Aerocivil,76,76109
174,BUO,BUENOS AIRES,Yopal,Casanare,Aeródromo,5.149,-72.3519,GILMA MARTINEZ DE B.,SERFABA S.A.S.,800.0,10.0,2000.0,732.0," 3061,000",1A,Fumigación,85,85001
175,BVA,BUENAVISTA,Distracción,La Guajira,Aeródromo,10.8874,-72.9007,EJERCITO,EJERCITO,1420.0,30.0,29000.0,850.0,,3C,Militar,44,44098
176,CAA,CAÑO GANDUL,San Luis de Palenque,Casanare,Aeródromo,5.1725,-71.1419,PERENCO COLOMBIA LIMITED,PERENCO COLOMBIA LIMITED,600.0,16.0,3000.0,431.0," 5603,000",1A,Privado,85,85325
177,CAC,CAMPO CAPOTE,Vélez,Santander,Aeródromo,6.75,-73.9167,INDERENA,INDERENA,500.0,20.0,2300.0,500.0," 2302,000",1A,Público,68,68861
178,CAD,INGENIO MAYAGUEZ,Candelaria,Valle del Cauca,Aeródromo,3.3948,-76.3238,INGENIO MAYAGUEZ S.A.,ING. MAYAGUEZ-ASOCAÑA,200.0,10.0,500.0,3320.0," 2958,000",1A,Fumigación,76,76130
179,CAG,CASACARA CAYTA,Agustín Codazzi,Cesar,Aeródromo,9.9281,-73.2531,FADELCE LTDA,FADELCE LTDA,900.0,20.0,4000.0,384.0," 3055,000",1A,Fumigación,20,20013
180,CAH,EL VISO INCORA,Campoalegre,Huila,Aeródromo,,,,,,,,,,,,41,41132
181,CAL,CALIMA,Aguachica,Cesar,Aeródromo,8.2854,-73.643,CELTA LTDA,CELTA LTDA.,900.0,15.0,2500.0,427.0," 1127,000",1A,Fumigación,20,20011
182,CAM,CABO MARZO,Juradó,Chocó,Aeródromo,6.8794,-77.678,SERVICIALES LTDA.,SERVICIALES LTDA.,700.0,18.0,5000.0,16.0," 4418,000",1A,Privado,27,27372
183,CAN,CANARIAS,Nunchía,Casanare,Aeródromo,5.472,-72.1533,SERRANO HERRERA Y CIA,EL MISMO,740.0,10.0,2500.0,735.0," 3940,000",1A,Fumigación,85,85225
184,CAO,"CENTRO ADMINISTRATIVO ""MARANDUA""",Cumaribo,Vichada,Aeródromo,5.3345,-67.8646,INDERENA,INDERENA,1780.0,28.0,33112.0,500.0," 1413,000",3B,Público,99,99773
185,CAP,CAMPO ALEGRE,San Luis de Palenque,Casanare,Aeródromo,5.4053,-71.1293,ALIRIO CORREA Y OTROS,SERFABA S.A.S.,700.0,10.0,2000.0,656.0," 1207,000",1A,Fumigación,85,85325
186,CAQ,JUAN H.WHITE,Caucasia,Antioquia,Regional,7.968,-75.1982,AEROLINEA DE ANTIOQUIA,AEROLINEA DE ANTIOQ.,1080.0,23.0,,207.0," 5052,000",2B,Privado,5,5154
187,CAR,CARIMAGUA,Puerto López,Meta,Aeródromo,4.5649,-71.3367,ICA,EL MISMO,1336.0,23.0,25000.0,700.0,"  657,000",3B,Público,50,50573
188,CAS,CASA COIMA,Mutatá,Antioquia,Aeródromo,,,,,,,,,,,,5,5480
189,CAT,CALICANTO,Alvarado,Tolima,Aeródromo,4.4878,-75.0106,ERNESTO NAVARRO Y CIA,CRUZ VERDE,640.0,10.0,3000.0,2166.0," 1735,000",1A,Fumigación,73,73026
190,CAV,CUMACHAGUA,Santa Rosalía,Vichada,Aeródromo,4.0167,-70.8833,CORREGIMIENTO(MUNICIPIO),CORREGIMIENTO(MUNICIPIO),547.0,35.0,2500.0,440.0," 3660,000",1A,Público,99,99624
191,CBA,LOS GAVANES,Cabuyaro,Meta,Aeródromo,4.2078,-72.9822,FAGAN S. EN C.,FAGAN S. EN C.,680.0,15.0,2000.0,850.0," 5185,000",1A,Fumigación,50,50124
192,CBR,EL CARMEN DE BOLIVAR,El Carmen de Bolívar,Bolívar,Aeródromo,9.6842,-75.1261,MUNICIPIO,MUNICIPIO,1500.0,28.0,12202.0,590.0,"  247,000",3C,Público,13,13244
193,CBU,PETRIBA,Cabuyaro,Meta,Aeródromo,4.3617,-72.8275,GRACER S.A.,ASAM LTDA,850.0,10.0,2000.0,620.0," 2003,000",1A,Fumigación,50,50124
194,CBY,LA ARABIA,Cabuyaro,Meta,Aeródromo,4.3933,-72.9892,GERMAN REYES GARCIA,SADELL  LTDA.,800.0,10.0,2000.0,577.0," 4736,000",1A,Fumigación,50,50124
195,CCH,EL PACIFICO,Cartagena del Chairá,Caquetá,Aeródromo,,,,,,,,,,,,18,18150
196,CDA,LA ESMERALDA - CA,Candelaria,Valle del Cauca,Aeródromo,3.38,-76.3983,INCAUCA S.A.,INCAUCA S.A.,250.0,10.0,500.0,3166.0," 2957,000",1A,Fumigación,76,76130
197,CDY,CIUDAD YARI,San Vicente del Caguán,Caquetá,Aeródromo,1.5833,-73.8667,MUNICIPIO,MUNICIPIO,880.0,40.0,12202.0,1000.0," 3660,000",1A,Público,18,18753
198,CEB,EL CEBRUNO,Ayapel,Córdoba,Aeródromo,8.3292,-75.1323,MUNICIPIO AYAPEL,MUNICIPIO AYAPEL,944.0,15.0,5670.0,1280.0," 7092,000",2A,Público,23,23068
199,CFB,CALIFORNIA,Morales,Bolívar,Aeródromo,,,,,,,,,,,,13,13473
200,CGA,LA CEIBA,Ciénaga,Magdalena,Aeródromo,10.7913,-74.1049,CALIMA S.A.,CALIMA S.A.,740.0,10.0,4500.0,147.0," 1837,000",1A,Fumigación,47,47189
201,CGW,SANTA ANA,Cartago,Valle del Cauca,Aeródromo,4.7584,-75.9561,MUNICIPIO,MUNICIPIO,2200.0,40.0,,2977.0," 1319,000",4D,Público,76,76147
202,CHA,CHICORAL ESTRA,Espinal,Tolima,Aeródromo,4.2022,-74.9697,ESTRA LTDA,ESTRA LTDA,620.0,10.0,2000.0,1270.0," 5613,000",1A,Fumigación,73,73268
203,CHM,CHAPARRAL,San Martín,Meta,Aeródromo,,,,,,,,,,,,50,50689
204,CHO,CHICAMOCHA,Villavicencio,Meta,Aeródromo,,,,,,,,,,,,50,50001
205,CHP,LA CHAPA,Hato Corozal,Casanare,Aeródromo,5.9333,-71.45,CORREGIMIENTO,CORREGIMIENTO,500.0,30.0,3500.0,620.0," 3660,000",1A,Público,85,85125
206,CIE,LA CHEKA,Ciénaga,Magdalena,Aeródromo,10.665,-74.1967,CALIMA S.A.,CALIMA S.A.,660.0,10.0,4500.0,111.0," 6178,000",1A,Fumigación,47,47189
207,CIM,GUSTAVO ROJAS PINILLA,Cimitarra,Santander,Aeródromo,6.3674,-73.9706,AEROCIVIL,AEROCIVIL,1500.0,40.0,12202.0,735.0,"  644,000",3C,Aerocivil,68,68190
208,CJI,LA LIBELULA,Cajicá,Cundinamarca,Aeródromo,,,,,,,,,,,,25,25126
209,CLA,LA UNION,Castilla la Nueva,Meta,Aeródromo,3.3317,-73.295,RUBIELA AVILA S.,COMERCIALIZADORA ECO,750.0,10.0,2000.0,250.0," 4941,000",1A,Fumigación,50,50150
210,CLM,CALAMAR GUAVIARE,San José del Guaviare,Guaviare,Aeródromo,1.9624,-72.645,MUNICIPIO,MUNICIPIO,1000.0,16.0,2950.0,540.0,"  538,000",2A,Público,95,95001
211,CLO,ALFONSO BONILLA ARAGON,Palmira,Valle del Cauca,Internacional,3.5431,-76.3817,AEROCIVIL,CONCESION AEROCALI S.A.,3000.0,45.0,,3174.0,"  984,000",4E,Aerocivil,76,76520
212,CMA,CANAIMA,Villavicencio,Meta,Aeródromo,,,,,,,,,,,,50,50001
213,CMP,CAMPOALEGRE,Campoalegre,Huila,Aeródromo,,,,,,,,,,,,41,41132
214,CMR,LA MARIA,Cumaral,Meta,Aeródromo,4.2436,-73.2131,HELICE LTDA.,HELICE LTDA.,660.0,15.0,2000.0,738.0,"  117,000",1A,Fumigación,50,50226
215,CNL,LAS CAÑAS,Candelaria,Valle del Cauca,Aeródromo,3.3064,-76.3357,MAR 2 S.A.S.,FUMIVALLE,740.0,15.0,4500.0,3451.0," 1213,000",1A,Fumigación,76,76130
216,CNU,SAN VICENTE,Castilla la Nueva,Meta,Aeródromo,3.8111,-73.4372,JOSE S. VANEGAS,FARO LTDA.,800.0,10.0,2000.0,977.0,"  689,000",1A,Fumigación,50,50150
217,COA,COFA -PALMIRA,Palmira,Valle del Cauca,Aeródromo,,,,,,,,,,,,76,76520
218,COG,CONDOTO MANDINGA,Condoto,Chocó,Regional,5.072,-76.6766,AEROCIVIL,AEROCIVIL,1150.0,18.0,,166.0,"  984,000",2C,Aerocivil,27,27205
219,COL,COLOMBAIMA,Beltrán,Cundinamarca,Aeródromo,,,,,,,,,,,,25,25086
220,COZ,TAMACA,Agustín Codazzi,Cesar,Aeródromo,,,,,,,,,,,,20,20013
221,CPB,CAPURGANA,Acandí,Chocó,Regional,8.6305,-77.3502,ACCION COMUNAL,ACCION COMUNAL,950.0,10.0,,12.0," 1784,000",1A,Público,27,27006
222,CPC,CUPICA,Bahía Solano,Chocó,Aeródromo,6.6987,-77.4832,ALCALDIA,ALCALDIA,870.0,15.0,,16.0," 5732,000",1A,Público,27,27075
223,CPE,CAPELLANIA,Ariguaní,Magdalena,Aeródromo,,,,,,,,,,,,47,47058
224,CPL,NAVAS PARDO,Chaparral,Tolima,Aeródromo,3.7238,-75.4654,AEROCIVIL,AEROCIVIL,1200.0,15.0,,2729.0,"  499,000",2C,Aerocivil,73,73168
225,CRA,CINERA,San José de Cúcuta,Norte de Santander,Aeródromo,8.1708,-72.4746,ASOZULIA,ASOZULIA,900.0,10.0,5000.0,305.0," 6327,000",1A,Fumigación,54,54001
226,CRL,SANTA BARBARA,Cumaral,Meta,Aeródromo,4.2329,-73.2523,UNIPALMA S.A.,UNIPALMA S.A.,850.0,18.0,3000.0,800.0," 7055,000",1A,Privado,50,50226
227,CRM,CURUMANI,Curumaní,Cesar,Aeródromo,,,,,,,,,,,,20,20228
228,CRN,CORRAL NUEVO,Plato,Magdalena,Aeródromo,,,,,,,,,,,,47,47555
229,CRR,CERRITOS,Ambalema,Tolima,Aeródromo,4.8422,-74.7758,URUEÑA Y VILLA CIA S. EN C.,SANIDAD VEGETAL CRUZ,640.0,10.0,2000.0,807.0," 6174,000",1A,Fumigación,73,73030
230,CRS,CRAVO SUR,Yopal,Casanare,Aeródromo,,,,,,,,,,,,85,85001
231,CRU,CARURU,Carurú,Vaupés,Aeródromo,1.0135,-71.2961,MUNICIPIO,MUNICIPIO,1000.0,20.0,12200.0,646.0,"   62,000",2B,Público,97,97161
232,CRY,EL VERGEL,Cabuyaro,Meta,Aeródromo,4.2065,-73.0026,AVIAL LTDA,AVIAL LTDA.,740.0,15.0,2000.0,540.0,"  998,000",1A,Fumigación,50,50124
233,CTG,RAFAEL NUÑEZ,Cartagena de Indias,Bolívar,Internacional,10.442,-75.5123,AEROCIVIL,CONCESION-SACSA,2380.0,45.0,,7.0," 4501,000",4D,Aerocivil,13,13001
234,CTO,INGENIO LA CABAÑA -C.A.,Aipe,Huila,Aeródromo,3.1749,-75.3983,INGENIO LA CABAÑA S.A.,INGENIO LA CABAÑA S.A.,340.0,10.0,500.0,3329.0," 2953,000",1A,Fumigación,41,41016
235,CTP,COTOPRIX,Riohacha,La Guajira,Aeródromo,,,,,,,,,,,,44,44001
236,CUA,LAS DELICIAS,Cumaral,Meta,Aeródromo,,,,,,,,,,,,50,50226
237,CUC,CAMILO DAZA,San José de Cúcuta,Norte de Santander,Internacional,7.9274,-72.5116,AEROCIVIL,AEROCIVIL -ORIENTE S.A.S.,1920.0,45.0,,1027.0,"  984,000",4D,Aerocivil,54,54001
238,CUM,EL VISO,Campoalegre,Huila,Aeródromo,2.7313,-75.3219,SANIDAD VEGETAL CRUZ VERDE,SANIDAD VEGETAL CRUZ VERDE,600.0,10.0,2500.0,1299.0," 2136,000",1A,Fumigación,41,41132
239,CUS,CUSIANA,Tauramena,Casanare,Aeródromo,4.9633,-72.6281,ALFONSO HUM. FERNANDEZ,CELTA LTDA.,700.0,10.0,2000.0,886.0," 7274,000",1A,Fumigación,85,85410
240,CVN,COVEÑAS,Coveñas,Sucre,Aeródromo,9.401,-75.6913,ARC MINDEFENSA,ARC MINDEFENSA,1220.0,28.0,12202.0,31.0,"  984,000",2C,Militar,70,70221
