,sigla,nombre,municipio,departamento,categoria,latitud,longitud,propietario,explotador,longitud_pista,ancho_pista,pbmo,elevacion,resolucion,clase,tipo,gcd_departamento,gcd_municipio
704,VNL,COLEGIAL,Villanueva,Casanare,Aeródromo,4.4945,-72.7719,SAMOS DE COL. LTDA,FUMIVILLA LTDA,700.0,10.0,2000.0,574.0," 5913,000",1A,Fumigación,85,85440
705,VNU,SOCEAGRO,Villanueva,Casanare,Aeródromo,4.4881,-72.8319,SOCEAGRO,ASAM LTDA.,1100.0,12.0,2000.0,649.0,"  174,000",1A,Fumigación,85,85440
706,VUP,ALFONSO LOPEZ PUMAREJO,Valledupar,Cesar,Nacional,10.4351,-73.2494,AEROCIVIL,AEROCIVIL -ORIENTE S.A.S.,2100.0,30.0,,450.0,"  352,000",4C,Aerocivil,20,20001
707,VVA,VILLANUEVA,Turbo,Antioquia,Aeródromo,,,,,,,,,,,,5,5837
708,VVC,VANGUARDIA,Villavicencio,Meta,Nacional,4.1684,-73.6147,AEROCIVIL,AEROCIVIL,1940.0,30.0,,1366.0,"  499,000",3C,Aerocivil,50,50001
709,VVD,LAS BRISAS,Villavicencio,Meta,Aeródromo,,,,,,,,,,,,50,50001
710,VVL,TAPA - CHICAMOCHA,Villavicencio,Meta,Aeródromo,,,,,,,,,,,,50,50001
711,VVN,NEIVA YORK - MILENA,Villavicencio,Meta,Aeródromo,4.0903,-73.2342,COMERCIALIZADORA ECO,COMERCIALIZADORA ECO,790.0,15.0,6500.0,754.0,"  398,000",1A,Fumigación,50,50001
712,VVU,SANTA ISABEL,Villavicencio,Meta,Aeródromo,3.9873,-73.2091,EFA LTDA.,EFA LTDA.,800.0,10.0,2000.0,689.0," 2634,000",1A,Fumigación,50,50001
713,YAG,YAGUARA II,San Vicente del Caguán,Caquetá,Aeródromo,,,,,,,,,,,,18,18753
714,YAP,YAPIMA,Mitú,Vaupés,Aeródromo,1.0825,-69.4914,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,500.0,15.0,2300.0,600.0," 3423,000",1A,Público,97,97001
715,YOP,TROMPILLOS,Yopal,Casanare,Aeródromo,5.0932,-72.1807,ALEXANDER RIVERA,CELTA LTDA.,800.0,15.0,2000.0,623.0," 4736,000",1A,Fumigación,85,85001
716,YPL,CIENAGA,Yopal,Casanare,Aeródromo,5.2481,-72.8686,ALVARO MALAVER,SER.FUM.AER.CAS-SFA,890.0,10.0,2000.0,609.0," 4216,000",1A,Fumigación,85,85001
717,YPP,GERMAN ALBERTO,Yopal,Casanare,Aeródromo,5.1875,-72.3191,JOSE NELSON PEREZ R.,CELTA LTDA.,800.0,15.0,2000.0,735.0," 4511,000",1A,Fumigación,85,85001
718,YYP,LOS CABROS,Yopal,Casanare,Aeródromo,,,,,,,,,,,,85,85001
719,ZPS,GUILLERMO GOMEZ ORTIZ,Zapatoca,Santander,Aeródromo,6.7674,-73.2846,MUNICIPIO,MUNICIPIO,700.0,14.0,2300.0,5918.0,"   11,000",1A,Público,68,68895
